name,ticket,quota,ballotPosition,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C231,C232,C233,C234,C235,C236,C237,C238,C239,C240,C241,C242,C243,C244,C245,C246,C247,C248,C249,C250,C251,C252,C253,C254,C255,C256,C257,C258,C259,C260,C261,C262,C263,C264,C265,C266,C267,C268,C269,C270,C271,C272,C273,C274,C275,C276,C277,C278,C279,C280,C281,C282,C283,C284,C285,C286,C287,C288,C289,C290,C291,C292,C293,C294,C295,C296,C297,C298,C299,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330,C331,C332,C333,C334,C335,C336,C337,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C349,C350,C351,C352,C353,C354,C355,C356,C357,C358,C359,C360,C361,C362,C363,C364,C365,C366,C367
"PATERSON, James",A,534207,32,1332146,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207
"CICCONE, Raffaele",X,534207,88,1145955,1145955,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207,534207
"RICE, Janet",V,534207,80,389286,389377,390522,390544,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390619,390620,390620,390620,390620,390621,390621,390621,390621,390621,390621,390621,390621,390621,390621,390621,390621,390621,390627,390627,390627,390627,390627,390629,390629,390630,390630,390630,390640,390640,390640,390640,390640,390642,390642,390642,390642,390642,390643,390643,390643,390643,390643,390649,390649,390649,390653,390653,390653,390653,390656,390656,390656,390656,390656,390658,390658,390658,390658,390658,390667,390667,390667,390667,390667,390669,390669,390669,390669,390669,390677,390677,390677,390677,390677,390678,390678,390678,390678,390678,390692,390692,390692,390697,390697,390697,390697,390697,390698,390698,390698,390698,390698,390703,390704,390704,390704,390704,390720,390720,390720,390720,390720,390722,390722,390722,390722,390722,390762,390762,390762,390762,390767,390767,390767,390767,390767,390807,390807,390807,390807,390807,390819,390820,390820,390820,390820,390852,390852,390852,390852,390867,390867,390867,390867,390867,390873,390874,390874,390874,390874,390930,390930,390930,390930,390930,390935,390935,390935,390935,390935,391158,391158,391158,391158,391158,391360,391360,391360,391360,391360,392303,392303,392304,392304,392304,392598,392598,392599,392599,392599,392715,392716,392725,392725,392726,392779,392779,392779,392779,392779,392790,392793,392793,392794,392794,393189,393189,393189,393189,393189,394357,394357,394359,394359,394359,394627,394627,394628,394628,394628,394735,394735,394735,394735,394735,394899,394901,394911,394911,394916,394970,394974,394976,394985,394985,395522,395523,395523,395523,395523,399775,399775,399778,399780,399781,400055,400055,400060,400060,400060,400671,400671,400698,400698,400698,401391,401393,401414,401417,401443,401594,401595,401596,401596,401596,403125,403128,403132,403133,403133,404748,404752,404761,404761,404761,406173,406174,406177,406177,406177,408786,408788,408792,408792,408792,410882,410884,410907,410907,410907,411087,411087,411093,411093,411093,415254,415260,415301,415302,415302,419453,419453,419456,419457,419457,419966,419973,419976,419976,419976,428074,428079,428089,428090,428091,429722,429729,429732,429733,429733,430679,430684,430704,430704,430704,433526,433576,433584,433587,433587,448222,448237,448247,448250,448251,487055,487086,487127,487129,487131,492541,492561,492567,492569,492569,513033,513085,513141,513147,513148,521600,521685,521722,521729,521730,551255,551255,551255,551255,551255,534207,534207,534207,534207,534207,534207,534207
"HALLAM, James",Q,534207,70,106457,106621,106663,106682,106684,106684,106684,106684,106684,106684,106684,106684,106685,106685,106685,106685,106685,106686,106686,106686,106687,106687,106687,106687,106688,106688,106688,106688,106688,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106692,106693,106693,106693,106693,106693,106698,106698,106698,106698,106698,106698,106698,106698,106698,106698,106699,106699,106699,106701,106701,106701,106701,106702,106702,106702,106702,106702,106709,106710,106710,106710,106710,106710,106710,106710,106710,106710,106714,106714,106714,106714,106714,106721,106721,106721,106721,106721,106721,106722,106722,106722,106722,106722,106722,106722,106901,106902,106902,106902,106902,106903,106903,106903,106903,106903,106907,106907,106907,106907,106907,106908,106908,106908,106908,106908,106921,106921,106921,106921,106921,106921,106921,106921,106921,106955,106962,106962,106962,106962,106963,106963,106963,106963,106963,106979,106980,106980,106980,106980,106982,106982,106982,106982,106983,106983,106983,106983,106983,106998,107002,107002,107002,107002,107006,107006,107007,107007,107007,107010,107011,107011,107011,107011,107012,107012,107012,107012,107012,107014,107014,107014,107014,107014,107016,107016,107017,107017,107017,107043,107043,107043,107043,107043,107047,107047,107047,107047,107047,107186,107186,107186,107186,107186,107203,107204,107204,107204,107204,107254,107254,107255,107255,107255,107262,107262,107262,107262,107262,107298,107298,107298,107298,107298,107575,107575,107575,107575,107575,107593,107593,107593,107593,107593,107629,107634,107634,107635,107635,107751,107751,107751,107751,107751,107754,107754,107754,107754,107754,108149,108149,108150,108150,108150,108708,108708,108710,108710,108710,108731,108731,108731,108731,108731,108800,108800,108800,108800,108800,109080,109084,109084,109084,109084,109764,109766,109776,109776,109776,110031,110035,110035,110035,110035,110142,110144,110144,110144,110144,110710,110710,110713,110713,110713,117394,117401,117405,117406,117406,118184,118185,118191,118191,118191,119109,119110,119115,119115,119115,120163,120178,120179,120179,120179,120826,120827,120829,120829,120829,121658,121669,121669,121670,121670,128185,128233,128236,128248,128248,132263,132340,132342,132346,132346,136957,136971,136973,136974,136974,142073,142083,142101,142101,142101,162664,162734,162738,162743,162743,176598,176635,176651,176653,176653,204831,205031,205045,205060,205060,212029,212033,212045,212045,217120,217494,6356,5662,5512,5451,374,0
"HINCH, Derryn",I,534207,53,105255,105628,105823,105883,105897,105898,105898,105898,105898,105898,105898,105898,105899,105899,105899,105899,105899,105899,105899,105899,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105900,105902,105902,105902,105902,105902,105907,105907,105907,105907,105907,105908,105908,105908,105908,105908,105910,105910,105910,105910,105910,105915,105916,105916,105916,105916,105920,105920,105920,105922,105922,105922,105922,106048,106048,106048,106048,106048,106052,106053,106053,106053,106053,106063,106063,106063,106063,106063,106067,106068,106068,106068,106068,106075,106075,106075,106075,106075,106087,106092,106092,106093,106093,106108,106108,106108,106121,106121,106121,106121,106121,106124,106125,106125,106125,106125,106133,106133,106133,106133,106133,106135,106135,106136,106136,106136,106160,106164,106164,106164,106164,106172,106172,106172,106172,106197,106204,106204,106204,106204,106212,106212,106212,106212,106212,106225,106225,106225,106225,106225,106250,106251,106251,106251,106274,106274,106274,106274,106274,106320,106341,106341,106343,106343,106363,106363,106364,106364,106364,106385,106387,106387,106388,106388,106402,106402,106402,106402,106402,106406,106406,106406,106406,106406,106415,106415,106416,106416,106416,106527,106527,106527,106527,106527,106550,106550,106550,106550,106550,106596,106596,106596,106596,106596,106655,106656,106656,106658,106658,106722,106722,106722,106722,106722,106736,106736,106738,106738,106738,106853,106854,106854,106854,106854,107097,107098,107098,107098,107098,107145,107145,107145,107145,107145,107299,107316,107317,107331,107331,107561,107561,107561,107561,107561,107590,107590,107590,107590,107590,107811,107811,107811,107811,107811,108301,108301,108301,108301,108301,108449,108450,108455,108456,108460,108821,108834,108834,108835,108835,110003,110007,110016,110017,110017,110449,110449,110454,110454,110454,112065,112078,112081,112083,112083,112612,112624,112626,112627,112627,113187,113188,113191,113191,113191,113558,113559,113560,113560,113560,114765,114765,114769,114769,114769,115801,115802,115802,115802,115802,117352,117404,117409,117412,117412,119037,119044,119054,119054,119055,121806,121913,121919,121930,121930,123275,123283,123286,123287,123287,127117,127165,127170,127173,127173,133840,133854,133866,133867,133867,142930,142938,142955,142956,142957,157806,158021,158048,158065,158066,174258,174297,174348,174351,174352,197451,198547,198591,198617,198618,209007,209014,209172,209178,244657,249564,308945,309128,309181,309191,310825,310897
"BOWDEN, Jennifer A",P,534207,67,94054,94112,94225,94232,94235,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94238,94241,94241,94241,94241,94241,94243,94243,94243,94243,94243,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94244,94246,94246,94246,94247,94247,94247,94247,94248,94248,94248,94248,94248,94251,94251,94251,94251,94251,94254,94254,94254,94254,94254,94258,94258,94258,94258,94258,94324,94324,94324,94324,94324,94327,94327,94327,94327,94327,94329,94329,94329,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94331,94333,94334,94334,94334,94334,94334,94334,94334,94334,94334,94334,94334,94334,94334,94339,94339,94339,94339,94339,94612,94612,94612,94612,94612,94616,94616,94616,94616,94617,94617,94617,94617,94617,94623,94631,94631,94631,94631,94636,94636,94636,94636,94636,94642,94643,94643,94643,94643,94647,94647,94647,94647,94647,94650,94650,94651,94651,94651,94658,94658,94658,94658,94658,94675,94675,94675,94675,94675,94702,94702,94703,94703,94703,94719,94719,94719,94719,94719,94730,94731,94731,94731,94731,94766,94766,94767,94767,94767,94773,94773,94774,94774,94774,94808,94808,94808,94808,94808,94959,94960,94960,94960,94960,94988,94988,94990,94990,94990,95022,95024,95024,95026,95026,95268,95268,95268,95268,95268,95288,95288,95288,95288,95288,95543,95543,95545,95545,95545,95733,95734,95735,95735,95735,95783,95783,95784,95784,95784,95898,95901,95901,95901,95901,96573,96578,96579,96579,96579,97201,97202,97228,97228,97229,97616,97620,97622,97622,97622,97993,97997,97998,97998,97998,98323,98323,98335,98335,98335,98450,98450,98451,98451,98451,98708,98708,98711,98711,98711,99223,99223,99227,99227,99227,101089,101101,101102,101102,101102,102108,102115,102120,102120,102120,103076,103089,103091,103092,103092,105791,105810,105815,105815,105815,111029,111121,111133,111137,111137,114422,114436,114440,114442,114442,116534,116539,116569,116569,116569,120976,121008,121018,121020,121020,548,264,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THOOLEN, Catriona Cecilia",F,534207,46,91928,92604,92635,92660,92661,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92663,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92665,92666,92666,92666,92666,92666,92667,92667,92667,92667,92667,92672,92676,92676,92676,92676,92676,92676,92676,92676,92676,92676,92676,92677,92677,92677,92677,92677,92681,92681,92681,92681,92681,92682,92682,92682,92682,92682,92691,92693,92693,92693,92693,92694,92694,92694,92694,92694,92711,92721,92722,92722,92722,92723,92723,92723,92725,92725,92725,92725,92725,92729,92737,92737,92737,92737,92740,92740,92740,92740,92740,92741,92741,92741,92741,92741,92743,92743,92743,92743,92743,92743,92743,92743,92743,92784,92784,92784,92784,92784,92785,92785,92785,92785,92785,92790,92790,92790,92790,92790,92790,92790,92790,92790,92798,92798,92798,92798,92798,93130,93130,93130,93130,93130,93133,93133,93133,93133,93133,93147,93147,93147,93147,93147,93147,93147,93148,93148,93148,93148,93148,93148,93148,93148,93149,93149,93149,93149,93149,93170,93170,93170,93170,93170,93184,93184,93184,93184,93184,93233,93233,93233,93233,93233,93253,93258,93258,93259,93259,93290,93290,93290,93290,93290,93291,93291,93291,93291,93291,93326,93326,93326,93326,93326,93527,93528,93528,93528,93528,93537,93537,93538,93538,93538,93618,93625,93625,93629,93629,93680,93680,93680,93680,93680,93684,93684,93684,93684,93684,93882,93882,93883,93883,93883,94113,94113,94114,94114,94114,94124,94124,94124,94124,94124,94912,94941,94945,94947,94947,95276,95278,95279,95279,95279,95591,95593,95598,95598,95598,95968,95970,95971,95971,95971,96930,96983,96985,96990,96990,97406,97407,97411,97411,97411,98534,98534,98534,98534,98534,98950,98950,98951,98951,98951,99265,99265,99265,99265,99265,101341,101505,101511,101516,101516,102000,102003,102005,102005,102005,107585,108346,108367,108383,108383,110639,110654,110656,110660,110660,113819,113856,113864,113865,113865,117426,117439,117443,117443,117443,119941,119946,119954,119954,119954,132121,132183,132190,132193,132193,142235,142273,142321,142324,142325,2131,231,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUIR, Ricky",G,534207,49,68956,69133,69168,69185,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69187,69188,69188,69188,69189,69189,69189,69189,69189,69190,69190,69190,69190,69190,69191,69191,69191,69191,69191,69192,69192,69192,69192,69192,69192,69192,69192,69192,69192,69199,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69200,69202,69202,69202,69202,69202,69204,69204,69204,69204,69204,69206,69206,69206,69206,69206,69212,69215,69215,69215,69215,69216,69216,69216,69216,69216,69221,69229,69229,69230,69230,69233,69233,69233,69243,69243,69243,69243,69243,69247,69251,69251,69251,69251,69262,69262,69262,69262,69262,69262,69262,69262,69262,69262,69466,69470,69470,69470,69470,69472,69472,69472,69472,69493,69496,69496,69496,69496,69497,69497,69497,69497,69497,69503,69503,69503,69503,69503,69513,69513,69513,69513,69516,69516,69516,69516,69516,69545,69554,69554,69554,69554,69558,69558,69558,69558,69558,69573,69574,69574,69574,69574,69580,69580,69580,69580,69580,69581,69581,69581,69581,69581,69581,69581,69581,69581,69581,69641,69641,69641,69641,69641,69649,69649,69649,69649,69649,69703,69703,69703,69703,69703,69719,69720,69720,69720,69720,69739,69739,69739,69739,69739,69743,69743,69743,69743,69743,69807,69807,69807,69807,69807,69954,69954,69954,69954,69954,69961,69961,69962,69962,69962,70060,70067,70067,70070,70070,70134,70134,70134,70134,70134,70143,70143,70143,70143,70143,70326,70326,70326,70326,70326,70435,70435,70435,70435,70435,70464,70464,70464,70464,70464,70823,70834,70835,70835,70835,71064,71064,71065,71065,71065,71550,71550,71553,71553,71553,72186,72189,72189,72189,72189,72740,72763,72764,72765,72765,73203,73203,73204,73204,73204,74600,74601,74602,74602,74602,75071,75072,75072,75072,75072,76280,76280,76280,76280,76280,77917,78014,78017,78023,78023,78684,78685,78687,78687,78687,82779,82906,82912,82920,82920,85233,85240,85241,85243,85243,87615,87629,87631,87632,87632,97822,97833,97841,97843,97843,102943,102948,102957,102957,102957,637,118,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCHULTZ, Ben",U,534207,78,56600,56623,56696,56698,56701,56701,56701,56701,56701,56701,56701,56701,56701,56701,56701,56701,56701,56703,56703,56703,56703,56703,56703,56703,56704,56704,56704,56704,56704,56704,56704,56704,56705,56705,56705,56705,56705,56708,56708,56708,56708,56708,56709,56709,56709,56709,56709,56720,56720,56720,56720,56720,56720,56720,56720,56720,56720,56720,56720,56720,56720,56720,56733,56733,56733,56734,56734,56734,56734,56734,56734,56734,56734,56734,56735,56735,56735,56735,56735,56736,56736,56736,56736,56736,56736,56736,56736,56736,56736,56739,56739,56739,56739,56739,56741,56741,56741,56741,56741,56742,56742,56742,56746,56746,56746,56746,56746,56746,56746,56746,56746,56746,56748,56748,56748,56748,56748,56750,56750,56750,56750,56750,56757,56757,56757,56757,56757,56771,56771,56771,56771,56774,56774,56774,56774,56774,56783,56783,56783,56783,56783,56788,56788,56788,56788,56788,56793,56793,56793,56793,56793,56793,56793,56793,56793,56795,56795,56795,56795,56795,57301,57301,57301,57301,57301,57303,57303,57303,57303,57303,57313,57313,57313,57313,57313,57324,57324,57324,57324,57324,57345,57345,57346,57346,57346,57428,57428,57428,57428,57428,57462,57462,57462,57462,57462,57538,57538,57538,57538,57538,57541,57541,57541,57541,57541,57663,57663,57664,57664,57664,57693,57693,57694,57694,57694,57882,57882,57883,57883,57883,57943,57943,57944,57944,57944,57970,57970,57971,57971,57971,57985,57986,57986,57987,57987,58150,58151,58151,58151,58151,58207,58207,58207,58207,58207,58416,58417,58417,58417,58417,58738,58738,58749,58749,58749,58805,58805,58805,58805,58806,58879,58879,58879,58879,58879,59083,59083,59083,59083,59083,60893,60897,60905,60905,60905,61727,61727,61727,61727,61727,62299,62300,62300,62300,62300,64367,64369,64376,64376,64376,64773,64774,64780,64780,64780,67448,67449,67462,67462,67462,70073,70073,70077,70077,70077,70617,70619,70619,70619,70619,73839,73841,73844,73844,73844,75614,75625,75627,75629,75629,76495,76500,76512,76512,76512,78212,78247,78249,78251,78251,90463,90482,90491,90493,90493,278,169,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOOD, Frances",J,534207,55,55820,55866,55892,55897,55898,55899,55899,55899,55899,55899,55899,55899,55899,55899,55899,55899,55899,55899,55899,55899,55900,55900,55900,55900,55900,55900,55900,55900,55900,55901,55901,55901,55901,55901,55901,55901,55901,55903,55903,55903,55903,55903,55905,55905,55905,55905,55905,55907,55907,55907,55907,55907,55907,55907,55907,55907,55907,55909,55910,55910,55910,55910,55911,55911,55911,55912,55912,55912,55912,55914,55914,55914,55914,55914,55917,55917,55917,55917,55917,55921,55922,55922,55922,55922,55926,55927,55927,55927,55927,55929,55929,55929,55929,55929,55932,55933,55933,55933,55933,55937,55937,55937,55941,55941,55941,55941,55941,55945,55946,55946,55946,55946,56133,56133,56133,56133,56133,56140,56140,56140,56140,56140,56164,56165,56165,56165,56165,56170,56170,56170,56170,56176,56177,56177,56177,56177,56182,56182,56182,56182,56182,56183,56183,56183,56183,56183,56189,56189,56189,56189,56190,56190,56190,56190,56190,56207,56209,56209,56209,56209,56227,56227,56227,56227,56227,56233,56234,56234,56234,56234,56245,56245,56245,56245,56245,56251,56251,56251,56251,56251,56262,56262,56262,56262,56262,56346,56346,56346,56346,56346,56357,56357,56358,56358,56358,56431,56431,56431,56431,56431,56437,56437,56437,56437,56437,56568,56568,56568,56568,56568,56582,56582,56582,56582,56582,56673,56673,56673,56673,56673,56868,56868,56869,56869,56869,56891,56891,56891,56891,56891,56910,56912,56912,56913,56913,57162,57162,57162,57162,57162,57196,57196,57196,57196,57196,57370,57370,57370,57370,57370,57486,57486,57486,57486,57486,57521,57521,57521,57521,57521,57744,57745,57745,57745,57745,58149,58151,58152,58152,58152,58566,58566,58570,58570,58570,60402,60406,60406,60408,60408,61422,61429,61429,61430,61430,62472,62473,62474,62474,62474,62855,62856,62858,62858,62858,63683,63683,63686,63686,63686,67092,67092,67096,67096,67096,67782,67808,67810,67812,67812,70021,70022,70028,70028,70029,72424,72461,72464,72470,72470,72822,72823,72824,72824,72824,75268,75279,75282,75282,75282,227,77,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
